cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4	dz5	dz6	dz7	dz8	dz9	dz10	dz11	dz12	dz13	dz14	dz15	dz16	dz17	dz18	dz19	dz20	dz21	dz22	dz23	dz24	dz25	dz26	dz27	dz28	dz29	dz30	dz31	dz32	dz33	dz34	dz35	dz36	dz37	dz38	dz39	dz40	dz41	dz42	dz43	dz44	dz45	dz46	dz47	dz48	dz49
2	1	14022	0	0.0475908	0.0482201	0.998868	0.998838	-3.01472e-05	0.00145407	0.00123352	0.00183461	-0.000312548	-0.00120147	-0.00129675	8.67048e-05	0.000758668	0.000164301	-6.6493e-05	0.000726784	-0.000573085	-0.000988871	0.00085827	0.000915322	-0.00153051	-4.59665e-05	-0.000337288	-0.000389409	9.71923e-05	7.14247e-05	0.000419859	-0.00154987	7.36078e-05	0.000286196	0.00139635	0.000535947	-0.000109364	0.00124881	0.00103822	0.000823658	0.000892799	-0.000170241	-0.00072866	-0.000542252	-0.00107492	0.000680665	0.000494921	-0.000314887	0.00121511	0.000685333	0.00072882	0.000805989	-0.000823468	0.00026661	-0.000571848	0.000583137	-0.00111283	0.000923925	-0.000374391
2	1	30419	0	0.0482201	0.0519281	0.998838	0.998653	-0.000185658	-0.00108024	0.00204496	-0.000454822	-0.00472662	-0.000469028	-0.00082639	0.00229285	-0.000762062	-0.000268615	0.00289836	9.02845e-05	-0.00228297	-0.00109959	0.00325099	-0.000328447	-0.00326072	0.00229481	0.0016957	0.00105603	0.00171616	0.0035424	-0.00259625	0.00362475	-0.0021292	-0.00351277	-0.0025274	-0.00267926	-0.000782664	-0.00218525	-0.000722495	0.004621	-0.00220667	0.00306523	0.000294647	0.00181644	0.00217362	0.00328854	-0.00289555	-0.00105779	0.00201716	1.52911e-05	0.00168276	-3.24257e-05	0.00260892	0.000358866	-0.00143633	0.000443909	0.00176338	0.00125643	-0.000430093
2	1	31609	0	0.0519281	0.051851	0.998653	0.998657	3.99861e-06	-2.16009e-05	6.84851e-05	7.12202e-05	-8.56165e-05	0.000205341	-3.59251e-05	-0.000364056	0.000193829	0.000133905	-0.000263977	1.40274e-05	-0.000129564	2.23353e-05	-0.000190776	5.23422e-05	-0.000157987	0.000109966	-0.000148371	-0.000110474	-0.000362658	0.000147941	3.51995e-05	0.00034552	9.86152e-06	-3.84397e-05	1.55325e-05	6.3584e-05	7.1126e-05	0.000410489	4.95435e-05	0.000115203	0.000199863	-5.40537e-05	8.17137e-05	-3.20816e-05	-9.06757e-05	-0.000128916	0.000114458	0.000185293	6.10155e-06	-0.000112377	0.000108396	-0.000157579	0.000101144	2.00065e-06	-4.13273e-05	-4.67812e-05	-1.46313e-05	5.8544e-05	-0.000276812
2	1	32129	0	0.051851	0.0517945	0.998657	0.99866	2.93055e-06	0.00290349	0.000943294	0.0012308	0.00208227	-0.00057003	-0.00275653	-0.000900746	0.000809795	0.00249461	-0.00219551	-0.00158768	0.000895613	-0.00066301	-0.00243802	0.000277145	0.00175669	-0.00199554	-0.0019198	0.000682939	0.0015311	0.000933682	0.000586942	-0.00160911	-0.000147126	0.00253293	0.00197695	-0.00306283	-0.000544944	5.40678e-05	0.00234016	0.000873034	-0.00113877	0.00307842	0.00124043	-0.00141068	0.00236632	-0.000804671	0.00152057	0.00153827	0.00348532	-0.000915328	-0.00198496	-0.00153129	0.000484468	0.000866675	0.00341258	0.0020303	0.00159586	0.00250625	-0.00146043
2	1	35836	0	0.0517945	0.0564909	0.99866	0.998406	-0.000254245	0.00258337	0.00155779	-0.00136061	0.0138704	0.00257564	-0.00398508	0.00533262	-0.00326235	-0.00690891	-0.004409	0.00321364	-0.00203837	0.0106547	-0.00441587	0.00274544	0.00259253	-0.0019723	-0.00161254	0.00116014	-0.00299599	0.00346403	0.00349055	0.00349411	0.00355577	0.00551413	0.00956305	0.00388935	0.000876936	0.00191842	-0.00228268	0.00134114	0.000588719	-0.0030235	-0.00622934	-8.6238e-05	0.00198422	-0.00172501	0.00234808	0.0014507	0.0045885	0.00216373	-0.0112056	0.00427385	0.00369119	0.00185574	0.00371184	0.00169315	-0.00372802	0.000977339	0.0112347
2	1	56598	0	0.0564909	0.0563375	0.998406	0.998414	8.65519e-06	-0.000483885	0.000515988	0.00107118	0.00111713	-0.000945289	0.0012182	-0.000312244	0.000721394	-0.000442262	-0.000417633	-0.000327017	0.000293597	-8.07947e-05	0.000227216	-1.64407e-05	-1.29472e-05	0.000640914	0.000216546	-2.28569e-05	3.6403e-05	-0.000217742	2.64073e-06	0.000793882	-0.000920292	0.000510282	-0.0007054	0.000118515	-8.77171e-05	0.0012776	0.000556554	-5.2413e-05	8.10205e-05	-0.000628156	-0.000336833	-0.00124165	0.000463503	-0.0001728	-0.000207525	4.61932e-05	0.000145491	0.000431509	0.000639302	-0.000651611	-0.00066047	-0.000572522	0.000192388	0.000753516	0.000285539	0.00117083	-5.00809e-05
2	1	63973	0	0.0563375	0.0558388	0.998414	0.998442	2.7972e-05	0.000196468	0.000301768	-0.00046505	-0.000285104	-0.000211817	5.66863e-05	0.00036266	0.000646619	-0.000448373	0.000190244	0.000229251	0.00032121	-1.99605e-05	0.000533947	-2.11479e-05	0.000124336	-1.42574e-05	0.000264731	8.95004e-05	-0.000106883	4.53062e-05	8.41036e-05	0.000145264	0.000338394	-5.18166e-05	3.53526e-05	0.000149849	-0.000407149	-0.000499272	-0.000303612	-0.000412706	-8.06003e-05	0.000156098	-4.13406e-05	0.000121315	-0.000168618	-0.000214539	-0.000236033	-1.84803e-06	-1.98419e-05	-5.85252e-05	-0.000130063	-0.000380589	-0.00019859	0.000372398	-0.000556209	-0.000126694	0.000150849	5.77409e-06	-6.08735e-07
2	1	78150	0	0.0558388	0.0545454	0.998442	0.998514	7.13884e-05	0.00039676	0.000754303	-0.000792326	-2.07536e-05	0.000243224	-0.000307295	-0.00145282	0.000170935	-0.000478571	0.000192799	-0.00156778	0.000455086	-0.00148054	-0.000794889	0.00103857	0.00134448	7.52337e-05	-0.000834927	0.000252676	0.000620928	0.00124572	0.0009169	0.00102011	0.000480914	-0.000303038	-0.000843346	-0.00115871	0.000526232	-0.00206242	0.00260314	-0.00199928	-0.000245744	-0.000340426	-0.00054784	0.000655611	0.000485324	-0.000565522	0.000327537	0.00175808	-0.00150829	-0.000960123	-0.00089834	0.000774977	-0.000167603	-0.00185877	-0.00191443	0.00012982	6.71013e-05	0.000899703	-0.00209071
2	1	98640	0	0.0545454	0.054193	0.998514	0.998533	1.91564e-05	-0.00289452	3.7204e-05	0.00384922	-0.00847338	0.00160826	0.000504375	-0.00194897	-0.000715815	-0.000357978	-6.00686e-05	-0.0040125	0.00429328	-0.00467797	0.00416769	-3.24364e-05	-0.0028092	0.0044498	-0.00221299	0.00115689	0.000374392	0.00462842	-0.00415184	0.000285775	-0.00412493	-0.000489016	-0.000498919	0.0051085	-0.000897276	-0.00304258	-0.00545512	-0.0023575	0.00660761	0.0048748	-0.00216422	-0.00514247	-0.00160154	0.00267456	0.00279847	-0.000643612	-0.00338452	0.00429613	-0.00182876	-0.00180884	-0.00286846	0.000350298	-0.00134475	0.00483313	0.000876789	-0.00376709	-0.00480022
2	2	65743	0	0.0463877	0.046905	0.998925	0.998901	-2.41307e-05	-0.000130814	0.0025139	5.47981e-06	-0.00260181	0.00206405	-0.000596614	0.000657146	0.000807129	-0.000301931	0.000425803	-0.000228601	0.00234861	-0.000358725	-0.00296141	0.000857585	0.00365494	-0.00104787	0.000191697	-0.00289111	-0.000917192	-0.00202791	-0.000632534	0.000554188	0.000669873	-0.00178625	0.000475179	-0.000982611	-0.000930601	-0.00111181	-0.00188893	-0.0010706	-0.00109029	-0.00260859	-0.00198212	0.00170019	0.0017258	-0.000577762	-0.000245282	-0.000468312	-0.000975764	0.00084134	-0.00223096	0.000514871	-0.00240064	0.000922979	4.93648e-05	0.000206971	-0.000619765	0.00156687	0.00252407
