cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0
5	1	79556	0	0.0111727	0.00255904	0.999938	0.999997	5.91425e-05	-0.0086137
5	1	80357	0	0.00255904	0.0296794	0.999997	0.99956	-0.000437064	-0.0322384
5	1	81289	0	0.0296794	0.0310912	0.99956	0.999517	-4.28978e-05	0.0607706
5	1	83251	0	0.0310912	0.0268891	0.999517	0.999639	0.000121828	-0.0579803
5	1	90117	0	0.0268891	0.0141234	0.999639	0.9999	0.000261811	0.0127657
5	1	94562	0	0.0141234	0.00504959	0.9999	0.999987	8.69895e-05	0.00907379
5	2	13867	0	0.00202465	0.00983757	0.999998	0.999952	-4.63382e-05	-0.00781291
5	2	42346	0	0.00983757	0.00211549	0.999952	0.999998	4.61523e-05	0.0119531
5	2	61402	0	0.00211549	0.0135502	0.999998	0.999908	-8.95619e-05	-0.0156657
5	2	67833	0	0.0135502	0.00551276	0.999908	0.999985	7.66112e-05	0.0190629
6	1	1279	0	0.00504959	0.0320539	0.999987	0.999486	-0.000500852	0.0371035
6	1	11324	0	0.0320539	0.00845576	0.999486	0.999964	0.000478091	-0.0405097
6	1	37916	0	0.00845576	0.0224578	0.999964	0.999748	-0.000216404	-0.0140021
6	1	50842	0	0.0224578	0.0217682	0.999748	0.999763	1.52497e-05	0.000689621
6	1	75288	0	0.0217682	0.0244077	0.999763	0.999702	-6.09391e-05	-0.00263951
6	1	87691	0	0.0244077	0.0130693	0.999702	0.999915	0.000212488	0.0374771
6	1	93431	0	0.0130693	0.0120889	0.999915	0.999927	1.23326e-05	-0.0251582
6	1	95282	0	0.0120889	0.0120844	0.999927	0.999927	5.43988e-08	0.0241733
6	1	96727	0	0.0120844	0.020005	0.999927	0.9998	-0.000127075	-0.0320894
6	2	15192	0	0.00551276	0.00951691	0.999985	0.999955	-3.00901e-05	-0.0150297
6	2	24427	0	0.00951691	0.0153055	0.999955	0.999883	-7.18407e-05	-0.00578858
6	2	35441	0	0.0153055	0.0160708	0.999883	0.999871	-1.20058e-05	-0.000765286
6	2	35507	0	0.0160708	0.0118648	0.999871	0.99993	5.87498e-05	0.0279356
6	2	50972	0	0.0118648	0.0357903	0.99993	0.99936	-0.000569925	0.0239255
6	2	60038	0	0.0357903	0.00628375	0.99936	0.99998	0.000620924	-0.0295066
6	2	68274	0	0.00628375	0.0163988	0.99998	0.999866	-0.000114711	-0.0226826
6	2	74495	0	0.0163988	0.0233304	0.999866	0.999728	-0.000137683	-0.00693155
6	2	80247	0	0.0233304	0.0186098	0.999728	0.999827	9.89954e-05	0.0419402
7	1	1738	0	0.020005	0.0133105	0.9998	0.999911	0.000111521	0.0333155
7	1	11115	0	0.0133105	0.0281647	0.999911	0.999603	-0.000307992	0.0148541
7	1	12193	0	0.0281647	0.0204349	0.999603	0.999791	0.000187849	-0.00772976
7	1	13773	0	0.0204349	0.0202726	0.999791	0.999795	3.30418e-06	-0.000162337
7	1	35340	0	0.0202726	0.0119861	0.999795	0.999928	0.000133665	-0.0322587
7	1	50075	0	0.0119861	0.0165032	0.999928	0.999864	-6.43429e-05	0.0284893
7	1	65070	0	0.0165032	0.0163957	0.999864	0.999866	1.7686e-06	-0.000107517
7	1	77532	0	0.0163957	0.00757528	0.999866	0.999971	0.000105723	-0.023971
7	1	80822	0	0.00757528	0.0230936	0.999971	0.999733	-0.000237937	0.0306689
7	1	82223	0	0.0230936	0.0172287	0.999733	0.999852	0.000118251	-0.0403223
7	2	4358	0	0.0186098	0.00927519	0.999827	0.999957	0.000130157	-0.027885
7	2	13387	0	0.00927519	0.000903109	0.999957	1	4.26077e-05	0.0101783
7	2	66352	0	0.000903109	0.00504263	1	0.999987	-1.23062e-05	-0.00594574
