cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1	dz2	dz3	dz4
3	2	15720	0	0.0341187	0.0319308	0.999418	0.99949	7.2257e-05	0.00555869	-0.0123301	0.0285472	0.00317154	0.0186003
3	2	30689	0	0.0319308	0.0500969	0.99949	0.998746	-0.000744783	-0.0134774	-0.0342645	-0.0225584	-0.0112761	-0.0320787
3	2	46407	0	0.0500969	0.0331059	0.998746	0.999452	0.000707098	-0.00873736	0.0246667	0.00145251	0.0424689	0.0222463
3	2	67017	0	0.0331059	0.0321668	0.999452	0.999483	3.06511e-05	0.00159216	0.00293773	-0.000746258	8.1788e-05	-0.000140157
3	2	80127	0	0.0321668	0.0305988	0.999483	0.999532	4.92088e-05	0.000105075	-0.000245076	0.00405852	0.00142442	-0.00047145
3	2	82225	0	0.0305988	0.0490745	0.999532	0.998797	-0.00073574	-0.0115059	0.00816566	-0.00103336	-0.0534807	-0.0397208
3	2	86907	0	0.0490745	0.0454956	0.998797	0.998966	0.000169242	0.00626111	-0.0080168	0.00301517	0.0128172	-0.00892978
3	2	92394	0	0.0454956	0.0369431	0.998966	0.999318	0.000352593	-0.00932036	0.00747671	0.0211798	0.0122425	0.0063059
4	1	381	0	0.0263593	0.0303888	0.999653	0.999538	-0.000114326	-0.013604	-0.00961545	0.00583227	-0.00954879	-0.000875385
4	1	7462	0	0.0303888	0.0342781	0.999538	0.999413	-0.000125746	0.00379116	-0.0045862	0.00103764	-0.00148509	-0.00186216
4	1	13992	0	0.0342781	0.0399961	0.999413	0.9992	-0.000212327	-0.00198638	-0.0170685	-0.00143841	0.0044492	-0.00339419
4	1	23293	0	0.0399961	0.0433085	0.9992	0.999063	-0.00013796	0.00429108	-0.00189107	-0.0027865	0.00125622	-0.0107803
4	1	38919	0	0.0433085	0.0418023	0.999063	0.999127	6.40998e-05	-0.0208968	0.00837961	0.0121595	0.00811239	-0.00305698
4	1	40996	0	0.0418023	0.0418205	0.999127	0.999126	-7.60771e-07	0.000216877	-9.65019e-05	7.30943e-05	0.000153985	-1.76434e-05
4	1	46412	0	0.0418205	0.044315	0.999126	0.999019	-0.000107427	-0.0114391	-0.00795828	-0.00994156	0.00186481	0.00216218
4	1	52670	0	0.044315	0.0533261	0.999019	0.998579	-0.000439834	-0.00187707	0.00686764	0.00208996	-0.0110895	-0.0158577
4	1	64362	0	0.0533261	0.0498139	0.998579	0.99876	0.00018114	0.00768713	0.00962129	0.00529321	-0.0100719	0.00788194
4	1	66401	0	0.0498139	0.042058	0.99876	0.999116	0.00035634	0.00126498	0.00363124	-0.0045787	0.00320629	0.00472872
4	1	89792	0	0.042058	0.042437	0.999116	0.9991	-1.60128e-05	-2.01945e-05	-3.34862e-06	0.00032452	-9.30068e-05	-0.000343554
4	1	93918	0	0.042437	0.0372245	0.9991	0.999307	0.00020764	-0.00245066	0.00983988	-0.000332289	0.00153034	0.00952971
4	2	23136	0	0.0369431	0.0299806	0.999318	0.999551	0.000233006	0.00170722	-0.0102712	-0.00160248	0.00728928	0.00972712
4	2	39027	0	0.0299806	0.0284655	0.999551	0.999595	4.42751e-05	0.00473663	-0.00826342	-0.00259876	-0.00773163	0.0106944
4	2	39053	0	0.0284655	0.0276735	0.999595	0.999617	2.2232e-05	-0.00139318	0.00197218	-0.000573255	0.000148421	-0.000147053
4	2	41292	0	0.0276735	0.0299209	0.999617	0.999552	-6.47161e-05	0.000928683	0.000294684	-0.008267	0.00398462	-0.00843849
4	2	58872	0	0.0299209	0.0208943	0.999552	0.999782	0.00022937	0.00472167	0.0025423	-0.00278232	0.00213529	0.0167143
4	2	71574	0	0.0208943	0.0319086	0.999782	0.999491	-0.00029075	0.0020302	-0.0136421	0.00590325	-0.00262669	0.00374293
4	2	71964	0	0.0319086	0.0325711	0.999491	0.99947	-2.13615e-05	-0.000277526	-0.000153431	0.000823975	-0.00221419	5.98375e-05
4	2	89342	0	0.0325711	0.0225097	0.99947	0.999747	0.000277135	0.00227921	0.00934545	-0.00278865	0.00506597	-0.00742601
4	2	89968	0	0.0225097	0.0230118	0.999747	0.999735	-1.14285e-05	-0.00735563	0.00461767	-0.000518873	-7.30241e-05	-0.00483799
5	1	32447	0	0.0372245	0.0304726	0.999307	0.999536	0.000228569	0.00886519	-0.00202438	-0.00173011	0.0025045	0.00436734
5	1	33249	0	0.0304726	0.0346655	0.999536	0.999399	-0.000136549	-0.00675397	-0.0128625	0.00322482	0.00744265	-0.004056
5	1	36939	0	0.0346655	0.0323365	0.999399	0.999477	7.80259e-05	0.0150503	0.0108278	0.00673418	0.0147036	-0.00582808
5	1	38130	0	0.0323365	0.0469678	0.999477	0.998898	-0.000579994	-0.000430728	-0.00601454	-0.0203766	-0.000453375	-0.0291204
5	1	41476	0	0.0469678	0.0489607	0.998898	0.998802	-9.5584e-05	-0.00437601	-0.0010215	0.00659931	-0.0198138	0.00491712
5	1	44030	0	0.0489607	0.0540097	0.998802	0.998543	-0.000259914	0.0443048	0.00570762	-0.0372151	-0.000516975	0.0253312
5	1	49703	0	0.0540097	0.0410298	0.998543	0.999159	0.000616991	-0.00548071	0.0154278	0.00640191	0.0142354	0.0119909
5	1	82089	0	0.0410298	0.034822	0.999159	0.999394	0.000235467	-0.0374417	0.00033486	-0.0015954	0.0347385	0.000532693
5	1	83781	0	0.034822	0.0382812	0.999394	0.999268	-0.000126431	0.00312928	0.00808019	0.00393227	0.000358674	0.0144584
5	1	93903	0	0.0382812	0.0383118	0.999268	0.999266	-1.17222e-06	-0.00296385	-0.00419166	0.00169654	0.00219795	0.00203342
5	1	95560	0	0.0383118	0.0336282	0.999266	0.999435	0.000168483	0.0120145	-0.033505	0.0142157	-0.0195018	0.00911561
5	2	3014	0	0.0230118	0.022838	0.999735	0.999739	3.98471e-06	0.000612544	-0.000542459	0.000407118	-0.000213093	0.000534016
5	2	4571	0	0.022838	0.0273073	0.999739	0.999627	-0.00011205	0.0023039	-0.0075908	-0.00243971	0.00269062	0.00522325
5	2	5852	0	0.0273073	0.0266033	0.999627	0.999646	1.89751e-05	0.00387134	-0.000854405	0.00309481	0.00360344	-0.000795548
5	2	9760	0	0.0266033	0.0296433	0.999646	0.999561	-8.54918e-05	0.0201171	0.0283336	0.0225513	0.0147141	0.00241068
