cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
4	1	60716	0	0.00850848	0.0078348	0.999964	0.999969	5.50512e-06	-0.00165896	0.000919228
4	1	63599	0	0.0078348	0.0196267	0.999969	0.999807	-0.000161899	0.00956419	0.0070261
4	1	71843	0	0.0196267	0.0253231	0.999807	0.999679	-0.000128017	-0.000890193	0.00834543
4	1	81329	0	0.0253231	0.0169172	0.999679	0.999857	0.00017755	-0.00918649	-0.00486101
4	1	83170	0	0.0169172	0.0135899	0.999857	0.999908	5.07536e-05	0.00536918	-0.00726895
4	1	85628	0	0.0135899	0.0249064	0.999908	0.99969	-0.000217798	0.00480913	-0.028774
4	1	93510	0	0.0249064	0.0256233	0.99969	0.999672	-1.81131e-05	-0.0152859	-0.0057791
4	1	94008	0	0.0256233	0.00400562	0.999672	0.999992	0.000320306	0.00397721	0.0241979
4	2	339	0	0.0179487	0.0181056	0.999839	0.999836	-2.82714e-06	0.0036203	0.000586158
4	2	1626	0	0.0181056	0.0294143	0.999836	0.999567	-0.00026866	-0.0264583	-0.0303342
4	2	1649	0	0.0294143	0.0156682	0.999567	0.999877	0.000309904	0.0262832	0.0278922
4	2	2995	0	0.0156682	0.0389703	0.999877	0.999241	-0.000636393	-0.0168942	0.0192279
4	2	11383	0	0.0389703	0.0261595	0.999241	0.999658	0.00041727	0.0369433	-0.0522351
4	2	11958	0	0.0261595	0.0279873	0.999658	0.999608	-4.94843e-05	0.00251952	0.000175246
4	2	12535	0	0.0279873	0.0266381	0.999608	0.999645	3.68503e-05	-0.00282595	-0.00121572
4	2	14283	0	0.0266381	0.0164457	0.999645	0.999865	0.000219588	-0.00314134	0.0215746
4	2	15702	0	0.0164457	0.0152869	0.999865	0.999883	1.83861e-05	-0.00851729	-0.0164426
4	2	18528	0	0.0152869	0.0331026	0.999883	0.999452	-0.000430955	0.00823314	-0.0158072
4	2	27351	0	0.0331026	0.00841006	0.999452	0.999965	0.000512659	-0.0214407	0.0353439
4	2	29086	0	0.00841006	0.0174848	0.999965	0.999847	-0.000117488	2.4598e-05	0.0102927
4	2	40553	0	0.0174848	0.017581	0.999847	0.999845	-1.6875e-06	0.00261131	-0.0339059
4	2	49636	0	0.017581	0.0143364	0.999845	0.999897	5.17814e-05	-0.011381	0.0172616
4	2	54732	0	0.0143364	0.0195519	0.999897	0.999809	-8.83687e-05	-0.00457176	0.00504577
