cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
3	2	4468	0.5	0.0308959	0.0212872	0.999523	0.999773	0.000250737	-0.0216278	-0.00965742
3	2	14996	0.5	0.0212872	0.0313735	0.999773	0.999508	-0.000265541	0.0209623	0.0330823
3	2	18174	0.5	0.0313735	0.0228485	0.999508	0.999739	0.000231148	-0.00783407	-0.00337243
3	2	20864	0.5	0.0228485	0.00798198	0.999739	0.999968	0.000229197	-0.0244715	-0.0167974
3	2	28028	0.5	0.00798198	0.00988516	0.999968	0.999951	-1.70021e-05	-0.00206853	-0.000929713
3	2	28814	0.5	0.00988516	0.00854519	0.999951	0.999963	1.23482e-05	0.0002359	0.00153261
3	2	41695	0.5	0.00854519	0.030249	0.999963	0.999543	-0.000420901	-0.0173019	0.0260915
3	2	43087	0.5	0.030249	0.0423913	0.999543	0.999102	-0.000440913	0.0527429	0.0104786
3	2	47255	0.5	0.0423913	0.0402312	0.999102	0.999191	8.92371e-05	-0.0202364	0.00891395
3	2	47539	0.5	0.0402312	0.00122777	0.999191	0.999999	0.000808849	-0.00869662	-0.0381942
3	2	62411	0.5	0.00122777	0.0036552	0.999999	0.999993	-5.92651e-06	0.00221908	0.00110096
3	2	71059	0.5	0.0036552	0.0226908	0.999993	0.999743	-0.000250725	-0.0100747	-0.023571
3	2	72508	0.5	0.0226908	0.0214195	0.999743	0.999771	2.80396e-05	0.0275128	0.0153875
3	2	87096	0.5	0.0214195	0.00663603	0.999771	0.999978	0.000207401	-0.0270413	0.00505113
3	2	95999	0.5	0.00663603	0.00697914	0.999978	0.999976	-2.33575e-06	-0.000411441	0.000487779
4	1	27288	0.5	0.0144146	0.0101182	0.999896	0.999949	5.27024e-05	0.00550535	0.00684411
4	1	27876	0.5	0.0101182	0.0148876	0.999949	0.999889	-5.96297e-05	-0.00507409	0.000411927
4	1	44083	0.5	0.0148876	0.0157129	0.999889	0.999877	-1.26267e-05	-0.00115741	-0.000816361
4	1	45376	0.5	0.0157129	0.0121874	0.999877	0.999926	4.91815e-05	0.00301487	-0.00252262
4	1	46571	0.5	0.0121874	0.0211975	0.999926	0.999775	-0.000150388	-0.00886928	-0.00574903
4	1	54576	0.5	0.0211975	0.0219988	0.999775	0.999758	-1.73067e-05	0.0381938	0.0172363
4	1	70201	0.5	0.0219988	0.00344031	0.999758	0.999994	0.000236083	-0.0139447	-0.0128832
4	1	72023	0.5	0.00344031	0.00633321	0.999994	0.99998	-1.41368e-05	-0.00769752	-0.00531055
4	1	73286	0.5	0.00633321	0.0295357	0.99998	0.999564	-0.000416038	0.00417054	0.0341607
4	1	76608	0.5	0.0295357	0.0516856	0.999564	0.998665	-0.000899114	-0.0266128	-0.073749
4	1	78899	0.5	0.0516856	0.0184494	0.998665	0.99983	0.00116619	0.0428976	0.0352567
4	1	84372	0.5	0.0184494	0.0158009	0.99983	0.999875	4.53572e-05	-0.00950563	-0.00538862
4	1	92114	0.5	0.0158009	0.00914806	0.999875	0.999958	8.29941e-05	-0.0119448	0.0217868
4	1	92387	0.5	0.00914806	0.00710688	0.999958	0.999975	1.65897e-05	0.00253705	-0.000902401
4	1	98287	0.5	0.00710688	0.0245662	0.999975	0.999698	-0.000276457	-0.0173325	0.00756146
4	2	12178	0.5	0.00697914	0.0234742	0.999976	0.999725	-0.000251132	-0.0151498	-0.00726401
4	2	15689	0.5	0.0234742	0.0311858	0.999725	0.999514	-0.000210737	0.0384256	-0.0186511
4	2	27391	0.5	0.0311858	0.0259288	0.999514	0.999664	0.000150139	0.00693926	0.0151263
4	2	28608	0.5	0.0259288	0.0207155	0.999664	0.999785	0.000121592	-0.0127726	-0.00641694
4	2	30267	0.5	0.0207155	0.0171839	0.999785	0.999852	6.69249e-05	-0.000876448	0.00362039
4	2	45865	0.5	0.0171839	0.0199036	0.999852	0.999802	-5.04334e-05	-0.0196447	-0.00295308
4	2	51356	0.5	0.0199036	0.0114948	0.999802	0.999934	0.000132021	0.00897457	0.00574689
4	2	51402	0.5	0.0114948	0.0331836	0.999934	0.99945	-0.000484394	-0.0103537	-0.0197152
4	2	54118	0.5	0.0331836	0.0316205	0.99945	0.9995	5.0649e-05	0.0313319	0.00660925
4	2	59067	0.5	0.0316205	0.00766232	0.9995	0.999971	0.000470684	-0.02537	0.0299442
4	2	65829	0.5	0.00766232	0.00466887	0.999971	0.999989	1.84566e-05	0.00605848	-0.000763438
4	2	66480	0.5	0.00466887	0.00332489	0.999989	0.999994	5.37173e-06	-9.69369e-05	-0.0079127
4	2	87509	0.5	0.00332489	0.00768877	0.999994	0.99997	-2.40309e-05	-0.00277964	-0.00406398
5	1	3251	0.5	0.0245662	0.0442208	0.999698	0.999023	-0.000675761	0.0413506	0.0246889
5	1	21024	0.5	0.0442208	0.00893585	0.999023	0.99996	0.000938254	-0.0127024	-0.0414465
5	1	23663	0.5	0.00893585	0.00938728	0.99996	0.999956	-4.13575e-06	0.000853084	0.00243544
5	1	31883	0.5	0.00938728	0.0203727	0.999956	0.999792	-0.00016345	0.000216131	0.0181906
5	1	32103	0.5	0.0203727	0.00714615	0.999792	0.999974	0.000182007	-0.0073102	-0.0247377
5	1	46195	0.5	0.00714615	0.00857863	0.999974	0.999963	-1.12627e-05	0.00315974	0.00014438
5	1	78934	0.5	0.00857863	0.0102217	0.999963	0.999948	-1.54454e-05	-0.00266548	-0.00321035
5	2	6707	0.5	0.00768877	0.0237263	0.99997	0.999719	-0.000251877	0.0227662	-0.00459014
5	2	12594	0.5	0.0237263	0.0108431	0.999719	0.999941	0.000222706	-0.00974999	0.0133273
5	2	14649	0.5	0.0108431	0.0309708	0.999941	0.999521	-0.00042072	0.0114062	0.0202474
5	2	52287	0.5	0.0309708	0.0450893	0.999521	0.998984	-0.000536781	-0.0584052	0.00518421
5	2	54952	0.5	0.0450893	0.00974835	0.998984	0.999952	0.000969475	0.0346286	-0.017207
5	2	62258	0.5	0.00974835	0.0109023	0.999952	0.999941	-1.19149e-05	-0.00715453	-0.00313817
5	2	92106	0.5	0.0109023	0.0196464	0.999941	0.999807	-0.000133551	-0.00731283	0.00480702
