cycle	pop	tcycle	o	zb	za	wb	wa	s	dz0	dz1
5	1	15291	0	0.0208305	0.0174858	0.999783	0.999847	6.40814e-05	-0.000102333	-0.00341012
5	1	46155	0	0.0174858	0.0215203	0.999847	0.999768	-7.86831e-05	0.000519387	0.00402425
5	1	64325	0	0.0215203	0.020024	0.999768	0.9998	3.10821e-05	-0.00948276	-0.00151404
5	1	80408	0	0.020024	0.0259738	0.9998	0.999663	-0.000136829	-0.0173218	-0.00568216
5	1	82792	0	0.0259738	0.0174852	0.999663	0.999847	0.00018447	0.0113243	5.24318e-05
5	1	92341	0	0.0174852	0.0159755	0.999847	0.999872	2.52579e-05	0.0184146	0.000147243
5	1	95588	0	0.0159755	0.0136306	0.999872	0.999907	3.47119e-05	-0.00338694	-0.00106183
5	2	18745	0	0.0248123	0.0196199	0.999692	0.999808	0.00011536	0.0100748	9.44027e-05
5	2	29090	0	0.0196199	0.0178183	0.999808	0.999841	3.37259e-05	-0.00981527	-0.011516
5	2	30732	0	0.0178183	0.0150193	0.999841	0.999887	4.5957e-05	0.00161846	-0.00430541
5	2	52810	0	0.0150193	0.00521199	0.999887	0.999986	9.92122e-05	0.00956986	-0.00268401
5	2	54465	0	0.00521199	0.000666291	0.999986	1	1.33605e-05	0.00514544	-0.000639376
5	2	59959	0	0.000666291	0.0149596	1	0.999888	-0.000111666	-0.0100069	-0.0103967
5	2	73421	0	0.0149596	0.0195822	0.999888	0.999808	-7.98335e-05	0.00124552	-0.00641978
5	2	88788	0	0.0195822	0.0241867	0.999808	0.999708	-0.000100763	-0.011993	0.00517129
